"source_record_id","name_vi","category","province_code","source","source_url","retrieved_on","location_text","reported_longitude","reported_latitude","key","province_source_url","province_match_method","map_id","match_method","coordinate_available","legal_status","review_status","candidate_map_ids","candidate_match_method","latitude","longitude","coordinate_source_url","reported_coordinate_check"
"investvietnam-1","KCN Đại Kim","industrial_park","24","Invest Vietnam","https://investvietnam.gov.vn/vi/kcn.pd/bac-ninh---kcn-dai-kim.html","2026-09-10","Khu công nghiệp Đại Kim Bắc Ninh nằm ở phía Đông thành phố Bắc Ninh, sát đường Quốc lộ 1A, cạnh đường Quốc lộ 18, giáp cảng Sông Cầu",105.99884,20.869078,"dai kim","https://investvietnam.gov.vn/vi/kcn.pd/bac-ninh---kcn-dai-kim.html","official_location_or_url_prefix",,"unresolved",FALSE,"not_verified","needs_identity_or_location_review",,,,,,"province_conflict_not_used"
"investvietnam-2","KCN HANAKA","industrial_park","24","Invest Vietnam","https://investvietnam.gov.vn/vi/kcn.pd/bac-ninh---kcn-hanaka.html","2026-09-10","Nằm sát quốc lộ 1A và thị xã Từ Sơn",105.674744,20.833144,"hanaka","https://investvietnam.gov.vn/vi/kcn.pd/bac-ninh---kcn-hanaka.html","official_location_or_url_prefix","osm_way_642268658","exact_alias_and_source_province",TRUE,"not_verified","linked_to_mapped_site",,,21.1208010953525,105.958190445918,"https://www.openstreetmap.org/way/642268658","province_conflict_not_used"
"investvietnam-3","KCN Từ Sơn","industrial_park","24","Invest Vietnam","https://investvietnam.gov.vn/vi/kcn.pd/bac-ninh---kcn-tu-son.html","2026-09-10","Nằm sát quốc lộ 1A và thị xã Từ Sơn",106.163635,20.668766,"tu son","https://investvietnam.gov.vn/vi/kcn.pd/bac-ninh---kcn-tu-son.html","official_location_or_url_prefix",,"unresolved",FALSE,"not_verified","needs_identity_or_location_review",,,,,,"province_conflict_not_used"
"investvietnam-5","Băc Ninh - KCN Quế Võ 1 mở rộng","industrial_park","24","Invest Vietnam","https://investvietnam.gov.vn/vi/kcn.pd/bac-ninh---kcn-que-vo-1-mo-rong.html","2026-09-10","Khu công nghiệp Quế Võ nằm trên trục đường giao thông quan trọng, nối liền các trung tâm kinh tế lớn như Hà Nội, Hải Phòng, Quảng Ninh cũng như sân bay Quốc tế Nội Bài và các cảng biển Quốc tế, rất thuận tiện cho việc vận chuyển xuất nhập khẩu hàng hóa.",105.740662,20.863945,"que vo 1 mo rong","https://investvietnam.gov.vn/vi/kcn.pd/bac-ninh---kcn-que-vo-1-mo-rong.html","official_location_or_url_prefix",,"unresolved",FALSE,"not_verified","needs_identity_or_location_review",,,,,,"province_conflict_not_used"
"investvietnam-319","Khu công nghiệp Kim Hoa","industrial_park","25","Invest Vietnam","https://investvietnam.gov.vn/vi/kcn.pd/khu-cong-nghiep-kim-hoa.html","2026-09-10","Vị trí khu công nghiệp Kim Hoa nằm tại thị xã Phúc Yên - tỉnh Vĩnh Phúc giáp ranh với Thành phố Hà Nội, cạnh Quốc lộ 2.",105.740172,21.221085,"kim hoa","https://investvietnam.gov.vn/vi/kcn.pd/khu-cong-nghiep-kim-hoa.html","official_location_or_url_prefix","osm_way_772939833","exact_alias_and_source_province",TRUE,"not_verified","linked_to_mapped_site",,,21.2328187653376,105.721565582574,"https://www.openstreetmap.org/way/772939833","province_conflict_not_used"
"investvietnam-337","Khu công nghiệp LOTECO","industrial_park","79","Invest Vietnam","https://investvietnam.gov.vn/vi/kcn.pd/khu-cong-nghiep-loteco.html","2026-09-10","Khu công nghiệp Loteco nằm giáp quốc lộ 51A, nối trực tiếp thành phố Biên Hòa với hệ thống cảng Thị Vải – nơi tập trung trung chuyển khoảng 40% container ở Việt Nam, tỉnh Bà Rịa Vũng Tàu. Với sự thuận tiện của giao thông đường bộ, đường thủy và hàng không. Khu công nghiệp Loteco thực sự có một vị trí lí tưởng, tiết kiệm chi phí và thời gian.",106.884901,10.929663,"loteco","https://investvietnam.gov.vn/vi/kcn.pd/khu-cong-nghiep-loteco.html","official_location_or_url_prefix",,"unresolved",FALSE,"not_verified","needs_identity_or_location_review",,,,,,"province_conflict_not_used"
"investvietnam-341","Khu công nghiệp Bàu Bàng","industrial_park","79","Invest Vietnam","https://investvietnam.gov.vn/vi/kcn.pd/khu-cong-nghiep-bau-bang.html","2026-09-10","Tọa lạc tại các xã Lai Hưng và Lai Uyên, huyện Bàu Bàng của tỉnh Bình Dương, Khu công nghiệp Becamex Bàu Bàng có diện tích hơn 2,000 ha (khoảng 1,000 ha đất phát triển công nghiệp và 1,000 ha đất dịch vụ, đô thị). Dự án có vị trí chiến lược nằm cạnh Quốc Lộ 13, cửa ngõ giao thương của khu vực Đông Nam Bộ và Tây Nguyên.",106.60739,11.248406,"bau bang","https://investvietnam.gov.vn/vi/kcn.pd/khu-cong-nghiep-bau-bang.html","official_location_or_url_prefix","osm_way_790548272","exact_alias_and_source_province",TRUE,"not_verified","linked_to_mapped_site",,,11.2580738342297,106.602954816812,"https://www.openstreetmap.org/way/790548272","province_conflict_not_used"
"investvietnam-367","Khu công nghiệp Thới Hòa ","industrial_park","79","Invest Vietnam","https://investvietnam.gov.vn/vi/kcn.pd/khu-cong-nghiep-thoi-hoa.html","2026-09-10","Vị trí khu công nghiệp Thới Hòa, tỉnh Bình Dương nằm trong khu vực tứ giác kinh tế trọng điểm phía Nam (Tp.Hồ Chí Minh, Bình Dương, Bà Rịa-Vũng Tàu và Đồng Nai)",106.470967,10.925497,"thoi hoa","https://investvietnam.gov.vn/vi/kcn.pd/khu-cong-nghiep-thoi-hoa.html","official_location_or_url_prefix",,"unresolved",FALSE,"not_verified","needs_identity_or_location_review",,,,,,"province_conflict_not_used"
"investvietnam-437","Thông tin chung về Khu kinh tế Dung Quất","unclassified","48","Invest Vietnam","https://investvietnam.gov.vn/vi/kcn.pd/thong-tin-chung-ve-khu-kinh-te-dung-quat.html","2026-09-10","Khu vực nghiên cứu quy hoạch có tổng diện tích khoảng 45.332 ha bao gồm: phần diện tích Khu kinh tế hiện hữu là 10.300 ha, phần diện tích mở rộng khoảng 24.280 ha và khoảng 10.752 ha diện tích mặt biển. Bao gồm: toàn bộ diện tích các xã Bình Đông, Bình Thạnh, Bình Chánh, Bình Thuận, Bình Trị, Bình Hải, Bình Phước, Bình Hòa, Bình Phú, Bình Dương, Bình Thanh Đông, Bình Thanh Tây, Bình Tân, Bình Châu, Bình Thới và một phần các xã Bình Nguyên, Bình Long, Bình Hiệp, Bình Trung của huyện Bình Sơn; thị trấn Châu Ổ; toàn bộ diện tích các xã Tịnh Phong, Tịnh Hòa, Tịnh Kỳ và một phần xã Tịnh Thọ thuộc huyện Sơn Tịnh; toàn bộ diện tích huyện đảo Lý Sơn; khu vực mặt biển liền kề (diện tích khoảng 10.752 ha). Ranh giới quy hoạch được giới hạn như sau: - Phía Đông giáp biển Đông. - Phía Tây giáp đường sắt Bắc - Nam. - Phía Nam giáp ranh giới quy hoạch mở rộng thành phố Quảng Ngãi. - Phía Bắc giáp tỉnh Quảng Nam.",108.783857,15.316649,"thong tin chung ve khu kinh te dung quat","https://investvietnam.gov.vn/vi/kcn.pd/thong-tin-chung-ve-khu-kinh-te-dung-quat.html","official_location_or_url_prefix",,"unresolved",FALSE,"not_verified","needs_identity_or_location_review",,,,,,"province_conflict_not_used"
"investvietnam-442","Thông tin chung khu công nghiệp và khu phi thuế quan Sài Gòn – Chân Mây","industrial_park","46","Invest Vietnam","https://investvietnam.gov.vn/vi/kcn.pd/thong-tin-chung-khu-cong-nghiep-va-khu-phi-thue-quan-sai-gon-–-chan-may.html","2026-09-10","Dự án nằm trong khu kinh tế Chân Mây – Lăng Cô thuộc xã Lộc Tiến, Lộc Vĩnh, Tỉnh Thừa Thiên Huế, cách Thủ đô Hà Nội 710km về phía Bắc và cách Thành phố Hồ Chí Minh 1000km về phía Nam",106.386624,21.576363,"thong tin chung khu cong nghiep va khu phi thue quan sai gon chan may","https://investvietnam.gov.vn/vi/kcn.pd/thong-tin-chung-khu-cong-nghiep-va-khu-phi-thue-quan-sai-gon-–-chan-may.html","official_location_or_url_prefix",,"unresolved",FALSE,"not_verified","needs_identity_or_location_review",,,,,,"province_conflict_not_used"
