"source_id","location_text"
"1","Khu công nghiệp Đại Kim Bắc Ninh nằm ở phía Đông thành phố Bắc Ninh, sát đường Quốc lộ 1A, cạnh đường Quốc lộ 18, giáp cảng Sông Cầu"
"10","Khu công nghiệp nằm sát đường Quốc lộ 282 tuyến phố Hồ - Phú Thuỵ, nằm phía Nam thị trấn Hồ"
"101","Khu công nghiệp Phú Hội đặt tại xã Phú Hội, huyện Đức Trọng"
"102","Khu công nghiệp Lộc Sơn thuộc địa bàn Phường Lộc Sơn-TX Bảo Lộc-Tỉnh Lâm Đồng Lợi thế về vị trí địa lý: Cảng biển TP.HCM, Đồng Nai, Bình Thuận, Khánh Hòa, các khu công nghiệp trọng điểm phía Nam."
"103","Khu công nghiệp có vị trí giao thông rất thuận lợi, nằm ngay trên tuyến Quốc lộ 13, thuộc vùng cửa ngõ giao thương quan trọng giữa miền Đông Nam bộ và miền Trung Tây nguyên"
"11","Khu công nghiệp nằm sát đường Quốc lộ 38, nằm sát thị trấn Hồ"
"12","Giáp đường quốc lộ 18 và dự án đường 398B mới tránh thị trấn Sao Đỏ."
"13","Khu Công nghiệp Đại An nằm trên đường cao tốc số 5 Hà Nội - Hải Phòng"
"14","Khu công nghiệp Nam Sách nằm trên trục đường quốc lộ 5 nối liền Hà Nội - Hải Phòng và quốc lộ 183 nối liền các trung tâm kinh tế lớn như Hà Nội, Hải Phòng, Quảng Ninh, sân bay Quốc tế Nội Bài, cửa khẩu Lạng Sơn và các cảng biển quốc tế, rất thuận tiện cho việc xuất nhập khẩu hàng hoá"
"15","Khu công nghiệp nằm cạnh Quốc lộ 5A từ Hà Nội đi Hải Phòng, cách đường cao tốc 5B khoảng 2km"
"16",""
"17","Khu công nghiệp Tân Trường nằm trên trục đường quốc lộ 5 nối liền Hà Nội - Hải Phòng nối liền các trung tâm kinh tế lớn như Hà Nội, Hải Phòng, Quảng Ninh, sân bay Quốc tế Nội Bài, cửa khẩu Lạng Sơn và các cảng biển quốc tế, rất thuận tiện cho việc xuất nhập khẩu hàng hoá"
"18",""
"19",""
"2","Nằm sát quốc lộ 1A và thị xã Từ Sơn"
"20","Khu công nghiệp Vân Trung được xây dựng tại các xã Vân Trung, Tăng Tiến, Hoàng Ninh, huyện Việt Yên và xã Nội Hoàng, huyện Yên Dũng, tỉnh Bắc Giang."
"208","Khu Công Nghiệp Hố Nai, nằm cách QL 1A, đường tránh Tp. Biên Hòa, cách trung tâm thành phố Biên Hòa khoảng 12, trung tâm thành phố Hồ Chí Minh 40 km."
"209","KCN Bắc Đồng Phú nằm tại Thị trấn Tân Phú – huyện Đồng Phú – tỉnh Bình Phước, cách TpHCM 89 km. Mặt tiền đường ĐT 741, trục chính nối Đông Nam Bộ và Tây Nguyên"
"21","12"
"210","Khu công nghiệp Chơn Thành 1 tọa lạc tại huyện Chơn Thành, tỉnh Bình Phước, ở vị trí giáp ranh tỉnh Bình Dương, cách trung tâm Tp.Hồ Chí Minh 82 km."
"211","KCN Minh Hưng III tọa lạc tại xã Minh Hưng, huyện Chơn Thành, tỉnh Bình Phước. KCN kết nối với các tỉnh khác thông qua Quốc lộ 13 và Quốc lộ 14"
"213","Khu công nghiệp Nhơn Trạch II nằm ở Xã Hiệp Phước, phước Thiền và Phú Hội, huyện Nhơn Trạch, tỉnh Đồng Nai. Nằm trên đầu mối giao thông quan trọng của khu vực kinh tế trọng điểm phía Nam, Đồng Nai có nhiều điều kiện thuận lợi cả về đường bộ, đường thủy và đường hàng không."
"214","Khu công nghiệp Phúc Long nằm ngay mặt tiền Quốc lộ 1A, cách đoạn giao nhau giữa Quốc lộ 1A và đại lộ Nguyễn Văn Linh 12km về hướng Tây."
"215","Khu công nghiệp Long Hậu - Hòa Bình tọa lạc tại Ngã ba Bình Ảnh, Quốc lộ 1A, thuộc huyện Thủ Thừa, tỉnh Long An, cách TP.HCM 22km"
"216","Khu Công Nghiệp MBC@BD nằm trong thành phố mới Bình Dương, cách TP Hồ Chí Minh 31 km"
"217","Vị trí khu công nghiệp Rạch Bắp tọa lạc tại trung tâm thị xã Bến Cát, Bình Dương, nằm trong khu vực có nguồn nguyên vật liệu dồi dào của vùng Đông Nam bộ và chỉ cách Tp. Hồ Chí Minh, sân bay Quốc tế Tân Sơn Nhất, cảng Sài Gòn 55 km. Ngoài ra, khu công nghiệp còn nằm gần nhánh sông Sài Gòn, liên thông với các cảng sông: cảng Vinaconex - cảng Bà Lụa - cảng Sài Gòn, rất thuận tiện trong việc vận chuyển hàng hóa và giao thương."
"218","Từ KCN Long Khánh đến Tp. Hồ Chí Minh: 55 km (khoảng 01 giờ xe ô tô) – đường cao tốc ĐƢỜNG"
"219","KCN Thành Thành Công tọa lạc tại huyện Trảng Bàng, tỉnh Tây Ninh, vị trí giao thông thuận lợi, kết nối với cửa khẩu Mộc Bài thông qua Quốc lộ 22."
"22","KCN Sông Khê - Nội Hoàng thuộc tỉnh Bắc Giang, một tỉnh nằm trong hành lang kinh tế: Nam Ninh (Trung Quốc) - Lạng Sơn - Hà Nội - Hải Phòng - Quảng Ninh, tiếp giáp với vùng kinh tế trọng điểm phía Bắc Việt Nam."
"220","Giao thông thuận lợi gồm: Đường bộ: Quốc Lộ 1A, và Đường cao tốc Tp. HCM – Trung Lương, khoảng 2 giờ đến TP HCM. Đường thủy: nằm cạnh sông Tiền, cảng Mỹ Tho"
"221","Giao thông thuận lợi gồm: Đường bộ: Quốc Lộ 1A, và Đường cao tốc Tp. HCM – Trung Lương. Đường thủy: có bến thuỷ tại KCN Long Giang kết nối ra cảng Mỹ Tho và cảng Hiệp Phước."
"222","KCN Dầu Giây tọa lạc trên đường tỉnh 769, cách đường cao tốc Long Thành Dầu Giây 1.5 km"
"223","KCN liền kề TP HCM, giao thông thuận lơi, cơ sở hạ tầng hoàn thiện đã thu hút nhiều nhà đầu tư lớn từ Nhật Bản, Hàn Quốc, Đài Loan"
"225","VSIP II Bình Dương nằm trong khu liên hợp Công nghiệp, Dịch vụ và Đô thị Bình Dương (4.196 héc-ta) là nơi đang quy hoạch xây dựng trung tâm thành phố mới Bình Dương trong tương lai. Đến nay, KCN VSIP II đã hoàn thành xây dựng cơ sở hạ tầng, thu hút được 129 dự án đến từ hơn 20 quốc gia và vùng lãnh thổ với tổng số vốn đầu tư trên 1,5 tỷ Đô-la Mỹ."
